click_id,customer_id,anonymous_id,channel,clicked_at,campaign,utm_source,utm_medium
CLK000001,CUST0418,,tiktok,2023-07-10T07:12:01,Campaign_5,tiktok,email
CLK000002,CUST0061,,email,2023-10-17T16:00:58,Campaign_1,tiktok,cpm
CLK000003,CUST0296,,meta_ads,2023-05-02T06:46:22,Campaign_1,facebook,organic
CLK000004,CUST0139,,tiktok,2023-11-23T09:05:19,Campaign_3,newsletter,organic
CLK000005,CUST0290,,email,2023-12-27T08:25:52,Campaign_9,google,cpm
CLK000006,CUST0008,,organic,2023-08-26T15:26:18,Campaign_7,tiktok,email
CLK000007,CUST0314,,meta_ads,2023-03-11T01:01:44,Campaign_6,newsletter,cpm
CLK000008,CUST0488,,organic,2023-06-19T04:00:11,Campaign_3,facebook,cpm
CLK000009,,vmPylnBFFN,tiktok,2023-05-12T17:42:27,Campaign_8,google,cpm
CLK000010,CUST0464,,meta_ads,2023-12-14T04:50:33,Campaign_9,google,cpc
CLK000011,CUST0441,,organic,2023-07-13T01:37:12,Campaign_2,google,email
CLK000012,CUST0067,,email,2023-04-26T00:47:21,Campaign_6,google,cpm
CLK000013,CUST0384,,organic,2023-09-14T12:40:51,Campaign_10,tiktok,organic
CLK000014,CUST0233,,meta_ads,2023-10-29T17:39:08,Campaign_6,facebook,organic
CLK000015,CUST0049,,tiktok,2023-09-28T12:00:42,Campaign_4,google,cpc
CLK000016,CUST0381,,meta_ads,2023-03-14T08:14:54,Campaign_4,google,email
CLK000017,CUST0430,,organic,2023-07-02T00:13:49,Campaign_10,google,email
CLK000018,,vzMyHhcWeT,tiktok,2023-01-01T14:19:26,Campaign_9,facebook,organic
CLK000019,CUST0127,,organic,2023-11-25T15:00:36,Campaign_9,facebook,email
CLK000020,CUST0010,,google_ads,2023-09-07T11:42:14,Campaign_9,newsletter,email
CLK000021,CUST0365,,organic,2023-11-02T04:38:06,Campaign_10,tiktok,cpm
CLK000022,CUST0097,,tiktok,2023-02-25T07:53:20,Campaign_3,tiktok,cpm
CLK000023,CUST0303,,meta_ads,2023-08-28T05:12:45,Campaign_3,facebook,organic
CLK000024,CUST0066,,tiktok,2023-12-10T17:28:27,Campaign_8,newsletter,email
CLK000025,CUST0395,,meta_ads,2023-06-27T02:06:58,Campaign_8,tiktok,organic
CLK000026,CUST0229,,tiktok,2023-01-19T14:28:26,Campaign_3,google,organic
CLK000027,,jfWBwbKjlR,email,2023-07-09T23:32:48,Campaign_9,tiktok,cpm
CLK000028,CUST0416,,google_ads,2023-10-22T10:11:36,Campaign_5,newsletter,organic
CLK000029,CUST0461,,email,2023-10-27T18:14:22,Campaign_9,facebook,organic
CLK000030,CUST0340,,email,2023-11-04T10:12:23,Campaign_10,tiktok,email
CLK000031,CUST0386,,organic,2023-01-22T17:44:59,Campaign_7,facebook,cpm
CLK000032,CUST0270,,tiktok,2023-04-04T17:31:02,Campaign_3,google,cpm
CLK000033,CUST0499,,tiktok,2023-05-01T13:56:40,Campaign_7,google,email
CLK000034,CUST0365,,organic,2023-08-18T22:19:50,Campaign_5,newsletter,email
CLK000035,CUST0331,,organic,2023-07-24T00:30:58,Campaign_2,newsletter,cpm
CLK000036,,LMelDGpHYE,google_ads,2023-02-14T13:41:49,Campaign_9,tiktok,email
CLK000037,CUST0089,,meta_ads,2023-09-03T15:51:36,Campaign_6,google,cpc
CLK000038,CUST0317,,tiktok,2023-06-28T21:20:53,Campaign_4,newsletter,email
CLK000039,CUST0293,,organic,2023-02-23T10:53:30,Campaign_7,facebook,email
CLK000040,CUST0453,,tiktok,2023-04-24T10:11:37,Campaign_10,newsletter,email
CLK000041,CUST0292,,google_ads,2023-10-02T23:02:19,Campaign_8,facebook,cpm
CLK000042,CUST0011,,google_ads,2023-08-02T15:40:56,Campaign_2,google,cpc
CLK000043,CUST0050,,tiktok,2023-03-11T02:12:06,Campaign_9,newsletter,email
CLK000044,CUST0306,,google_ads,2023-06-03T10:42:52,Campaign_3,tiktok,cpc
CLK000045,,qqrnENcKxG,google_ads,2023-09-15T19:03:54,Campaign_9,google,cpc
CLK000046,CUST0366,,tiktok,2023-09-03T02:51:39,Campaign_6,newsletter,cpm
CLK000047,CUST0140,,meta_ads,2023-09-13T21:56:02,Campaign_3,newsletter,organic
CLK000048,CUST0449,,email,2023-06-03T01:04:05,Campaign_7,tiktok,cpm
CLK000049,CUST0318,,tiktok,2023-11-13T22:43:03,Campaign_9,facebook,cpc
CLK000050,CUST0487,,tiktok,2023-02-14T15:34:13,Campaign_8,google,email
