order_item_id,order_id,product_sku,product_name,quantity,unit_price,line_discount
ITEM000001,ORD00254,SKU154,Product 41,3,175.21,17.03
ITEM000002,ORD00992,SKU698,Product 32,2,146.82,15.69
ITEM000003,ORD00810,SKU779,Product 40,1,37.65,7.76
ITEM000004,ORD00904,SKU760,Product 49,3,102.22,9.29
ITEM000005,ORD00330,SKU829,Product 24,-1,144.55,9.9
ITEM000006,ORD00275,SKU695,Product 26,1,45.4,17.9
ITEM000007,ORD00463,SKU983,Product 16,-1,47.63,8.5
ITEM000008,ORD00387,SKU685,Product 11,3,54.63,1.7
ITEM000009,ORD00770,SKU186,Product 19,-1,106.17,4.6
ITEM000010,ORD00043,SKU576,Product 33,3,88.09,9.35
ITEM000011,ORD00419,SKU476,Product 32,3,58.24,0.49
ITEM000012,ORD00453,SKU339,Product 17,1,75.02,1.65
ITEM000013,ORD00863,SKU613,Product 33,1,158.25,
ITEM000014,ORD00949,SKU333,Product 7,1,18.91,0.77
ITEM000015,ORD00206,SKU441,Product 13,3,53.75,14.9
ITEM000016,ORD00787,SKU799,Product 18,2,142.6,19.96
ITEM000017,ORD00876,SKU870,Product 46,3,6.66,5.99
ITEM000018,ORD00843,SKU454,Product 26,-1,165.26,15.16
ITEM000019,ORD00013,SKU583,Product 42,2,173.77,4.55
ITEM000020,ORD00741,SKU867,Product 14,-1,50.58,11.74
ITEM000021,ORD00566,SKU875,Product 30,-1,71.43,1.72
ITEM000022,ORD00867,SKU292,Product 28,-1,45.87,9.0
ITEM000023,ORD00572,SKU130,Product 24,2,117.61,2.57
ITEM000024,ORD00966,SKU855,Product 1,-1,163.03,16.69
ITEM000025,ORD00348,SKU330,Product 27,-1,138.72,8.07
ITEM000026,ORD00798,SKU807,Product 35,3,68.59,
ITEM000027,ORD00024,SKU681,Product 3,2,34.97,19.05
ITEM000028,ORD00339,SKU681,Product 41,-1,196.13,4.08
ITEM000029,ORD00401,SKU165,Product 35,-1,41.73,2.17
ITEM000030,ORD00584,SKU562,Product 41,3,23.18,2.09
ITEM000031,ORD00567,SKU281,Product 3,-1,10.23,3.98
ITEM000032,ORD00934,SKU495,Product 19,2,50.44,13.19
