payment_id,order_id,attempt_number,payment_provider,payment_method,status,amount,currency,created_at,processed_at,failure_reason
PAY000001,ORD00622,2,adyen,bank_transfer,partially_refunded,235.4,AED,2023/01/03 16:27,2023-05-26T08:18:44,
PAY000002,ORD00051,1,STRIPE,bank_transfer,refunded,425.31,AED,2023/02/04 10:45,2023-07-30T12:22:25,
PAY000003,ORD00877,1,stripe,bank_transfer,captured,90.33,AED,2023/05/20 18:19,2023-06-17T23:04:03,
PAY000004,ORD00223,1,STRIPE,bank_transfer,partially_refunded,352.32,USD,2023/11/02 07:17,2023-09-23T02:24:29,insufficient_funds
PAY000005,ORD00580,2,adyen,apple_pay,authorized,101.16,AED,2023/12/24 21:33,2023-02-21T19:06:41,
PAY000006,ORD00782,1,paypal,apple_pay,refunded,312.48,AED,2023/09/11 11:59,2023-03-14T13:23:50,
PAY000007,ORD00450,2,STRIPE,bank_transfer,captured,119.68,AED,2023/12/03 21:22,2023-05-12T07:45:55,
PAY000008,ORD00048,1,STRIPE,bank_transfer,captured,20.63,USD,2023/04/08 14:51,2023-09-25T11:31:14,
PAY000009,ORD00067,2,STRIPE,card,captured,262.97,EUR,2023/02/23 17:03,2023-03-24T11:52:39,
PAY000010,ORD00507,3,stripe,bank_transfer,partially_refunded,267.38,AED,2023/01/04 12:45,2023-11-07T13:42:05,
PAY000011,ORD00340,2,stripe,apple_pay,failed,348.12,USD,2023/12/15 05:50,2023-06-01T01:46:49,insufficient_funds
PAY000012,ORD00949,2,adyen,apple_pay,partially_refunded,347.97,AED,2023/01/27 23:13,2023-03-20T08:20:54,
PAY000013,ORD00227,1,stripe,card,refunded,396.42,USD,2023/03/24 21:26,2023-09-19T12:51:56,insufficient_funds
PAY000014,ORD00793,2,STRIPE,card,refunded,230.21,EUR,2023/03/26 19:06,2023-03-21T03:06:23,
PAY000015,ORD00425,3,stripe,apple_pay,refunded,465.0,AED,2023/07/05 16:36,2023-01-11T23:33:43,
PAY000016,ORD00454,1,STRIPE,bank_transfer,failed,35.66,EUR,2023/11/06 17:53,2023-01-14T10:03:33,
PAY000017,ORD00321,1,adyen,card,failed,51.56,USD,2023/09/06 16:09,2023-07-03T15:54:13,
PAY000018,ORD00305,3,stripe,card,refunded,142.42,AED,2023/09/09 15:49,2023-12-04T07:23:58,
PAY000019,ORD00801,2,STRIPE,apple_pay,refunded,215.92,EUR,2023/08/10 01:05,2023-12-26T14:58:49,insufficient_funds
PAY000020,ORD00949,2,STRIPE,card,authorized,130.1,EUR,2023/03/16 03:24,2023-11-09T13:44:53,
PAY000021,ORD00366,3,paypal,apple_pay,refunded,367.17,EUR,2023/08/11 19:03,2023-06-23T21:57:13,
PAY000022,ORD00610,2,STRIPE,card,partially_refunded,463.4,AED,2023/09/29 10:59,,
PAY000023,ORD00696,2,adyen,bank_transfer,authorized,136.27,AED,2023/07/16 13:03,2023-06-15T22:15:08,insufficient_funds
PAY000024,ORD00758,3,adyen,apple_pay,authorized,434.72,AED,2023/09/30 16:58,2023-11-07T20:36:05,
PAY000025,ORD00147,2,paypal,apple_pay,captured,72.5,AED,2023/03/28 09:12,2023-08-18T07:39:00,
PAY000026,ORD00391,1,STRIPE,card,captured,362.11,AED,2023/10/01 08:43,2023-12-29T22:44:02,
PAY000027,ORD00825,3,stripe,bank_transfer,authorized,171.48,EUR,2023/08/07 09:48,2023-12-29T06:11:31,
PAY000028,ORD00258,1,stripe,bank_transfer,authorized,99.4,EUR,2023/06/19 16:33,2023-10-15T21:32:00,
PAY000029,ORD00942,1,STRIPE,card,partially_refunded,486.36,AED,2023/12/22 12:20,2023-04-29T03:13:01,
PAY000030,ORD00308,1,STRIPE,apple_pay,refunded,360.41,AED,2023/07/15 17:46,2023-09-28T07:57:59,
PAY000031,ORD00868,3,STRIPE,card,captured,230.62,AED,2023/08/01 01:25,2023-09-10T00:28:49,
PAY000032,ORD00338,3,adyen,card,refunded,265.86,EUR,2023/09/28 21:26,2023-01-30T22:01:04,
PAY000033,ORD00205,3,adyen,bank_transfer,failed,206.4,EUR,2023/10/18 08:04,2023-08-12T06:57:48,
PAY000034,ORD00996,2,paypal,card,failed,262.5,AED,2023/06/22 08:43,2023-08-31T03:44:26,
PAY000035,ORD00794,2,STRIPE,bank_transfer,partially_refunded,128.31,USD,2023/11/29 13:26,2023-08-30T03:09:55,
PAY000036,ORD00456,1,STRIPE,apple_pay,authorized,34.84,AED,2023/01/24 01:13,2023-08-11T21:24:58,
PAY000037,ORD00428,1,paypal,apple_pay,captured,13.63,EUR,2023/05/06 07:19,2023-05-19T09:13:24,
PAY000038,ORD00751,2,paypal,apple_pay,failed,254.64,AED,2023/06/04 19:11,2023-05-06T05:40:21,
PAY000039,ORD00777,2,paypal,apple_pay,authorized,495.69,USD,2023/04/09 22:35,2023-07-02T15:08:36,
PAY000040,ORD00006,1,stripe,apple_pay,partially_refunded,228.74,AED,2023/11/02 14:24,2023-11-11T07:10:33,
PAY000041,ORD00544,1,adyen,bank_transfer,authorized,185.13,EUR,2023/05/29 14:13,2023-05-18T01:16:06,
PAY000042,ORD00110,1,STRIPE,apple_pay,failed,137.41,AED,2023/08/17 15:20,2023-08-26T12:44:00,
PAY000043,ORD00304,1,STRIPE,card,captured,269.35,AED,2023/06/15 08:44,2023-01-07T14:20:41,
PAY000044,ORD00239,2,paypal,card,authorized,231.79,USD,2023/06/08 12:47,,insufficient_funds
PAY000045,ORD00904,3,adyen,apple_pay,captured,458.99,AED,2023/09/07 17:04,2023-06-09T16:46:33,insufficient_funds
PAY000046,ORD00047,3,adyen,bank_transfer,authorized,274.87,AED,2023/07/27 15:31,2023-03-28T17:40:07,insufficient_funds
PAY000047,ORD00624,2,stripe,card,failed,337.31,USD,2023/08/15 18:10,2023-10-27T02:23:34,
PAY000048,ORD00068,3,paypal,bank_transfer,refunded,435.32,AED,2023/12/07 20:11,2023-07-09T02:58:12,insufficient_funds
PAY000049,ORD00280,2,STRIPE,bank_transfer,failed,63.66,EUR,2023/06/01 03:59,2023-08-25T15:57:12,
PAY000050,ORD00014,2,adyen,card,refunded,110.28,EUR,2023/10/19 23:12,2023-09-26T11:23:52,
PAY000051,ORD00522,1,adyen,apple_pay,captured,290.79,AED,2023/01/08 07:35,2023-12-11T23:17:13,
PAY000052,ORD00849,3,stripe,card,refunded,10.53,AED,2023/08/28 14:46,2023-04-08T11:15:12,
PAY000053,ORD00667,1,STRIPE,card,failed,456.56,AED,2023/10/24 04:56,2023-02-24T08:04:29,
PAY000054,ORD00288,3,stripe,apple_pay,captured,423.75,USD,2023/01/16 20:55,2023-03-30T07:07:37,insufficient_funds
PAY000055,ORD00762,2,paypal,apple_pay,failed,270.97,EUR,2023/05/21 19:26,2023-08-25T18:27:57,
PAY000056,ORD00972,1,adyen,card,partially_refunded,450.68,AED,2023/04/14 19:27,2023-12-20T00:59:30,
PAY000057,ORD00739,1,STRIPE,card,partially_refunded,265.77,AED,2023/02/20 03:38,2023-11-22T20:58:12,
PAY000058,ORD00806,3,paypal,bank_transfer,partially_refunded,404.93,EUR,2023/02/11 04:11,2023-08-10T13:55:32,
PAY000059,ORD00251,3,STRIPE,card,refunded,25.25,AED,2023/05/21 00:59,2023-10-08T14:51:18,
PAY000060,ORD00734,3,adyen,card,refunded,215.8,EUR,2023/04/24 14:37,2023-12-27T10:26:32,
PAY000061,ORD00102,2,STRIPE,bank_transfer,authorized,198.14,USD,2023/11/24 13:17,2023-08-18T06:30:43,
PAY000062,ORD00990,3,stripe,apple_pay,authorized,491.05,AED,2023/12/25 13:59,2023-12-14T00:14:00,
PAY000063,ORD00093,2,STRIPE,apple_pay,captured,444.31,EUR,2023/11/16 02:49,2023-05-12T23:57:52,
PAY000064,ORD00425,3,stripe,apple_pay,captured,125.43,EUR,2023/10/09 12:51,2023-02-26T02:00:53,
PAY000065,ORD00486,1,paypal,bank_transfer,partially_refunded,473.46,USD,2023/02/28 20:07,2023-12-10T06:34:38,insufficient_funds
PAY000066,ORD00483,3,stripe,card,refunded,165.02,EUR,2023/12/06 00:12,,
PAY000067,ORD00556,3,paypal,card,partially_refunded,147.48,EUR,2023/06/23 10:52,2023-08-14T14:36:47,
PAY000068,ORD00266,1,paypal,apple_pay,refunded,163.84,USD,2023/08/19 10:24,2023-07-23T19:46:56,insufficient_funds
PAY000069,ORD00839,3,stripe,apple_pay,captured,236.76,USD,2023/05/17 23:47,2023-08-15T11:40:59,insufficient_funds
PAY000070,ORD00506,3,stripe,bank_transfer,partially_refunded,158.22,AED,2023/08/25 07:51,2023-10-23T23:20:20,
PAY000071,ORD00400,1,paypal,bank_transfer,captured,257.71,AED,2023/07/18 17:38,2023-06-22T03:47:54,
PAY000072,ORD00538,1,STRIPE,card,refunded,205.31,USD,2023/04/03 08:24,2023-08-19T13:28:42,
PAY000073,ORD00112,1,stripe,bank_transfer,partially_refunded,23.65,EUR,2023/10/14 16:46,2023-02-04T06:13:49,
PAY000074,ORD00827,3,stripe,card,partially_refunded,327.05,AED,2023/07/23 02:39,2023-09-07T22:33:27,
PAY000075,ORD00672,1,STRIPE,card,refunded,13.45,EUR,2023/05/31 16:38,2023-10-05T18:47:12,
PAY000076,ORD00989,3,stripe,card,authorized,232.79,USD,2023/03/27 05:23,2023-07-06T19:41:20,
PAY000077,ORD00604,3,STRIPE,apple_pay,partially_refunded,307.28,USD,2023/03/28 22:56,2023-04-17T18:15:45,
PAY000078,ORD00524,3,paypal,bank_transfer,failed,307.66,EUR,2023/12/24 19:19,2023-01-18T22:48:11,
PAY000079,ORD00324,1,paypal,apple_pay,failed,235.52,AED,2023/06/10 16:34,2023-12-01T20:46:22,
